lang,h,d,pmi
en,PROPN,CCONJ,0.29906563962622457
en,NUM,ADV,0.3912383784363058
en,NUM,ADJ,-0.6962646211280692
en,NUM,NUM,3.063514155093273
en,NUM,CCONJ,-0.2624560847153745
en,PROPN,PRON,-3.2171825856867784
en,PRON,DET,-2.2499069604238855
en,DET,VERB,0.4071200370307224
en,AUX,ADP,-3.569981900189118
en,AUX,SCONJ,2.385702669322985
en,AUX,PRON,1.4937920898450727
en,AUX,AUX,-0.5943546378053135
en,AUX,VERB,0.5408933966197154
en,PROPN,AUX,-2.3507463934924324
en,ADV,PART,-0.571402484135195
en,NUM,DET,-1.6847608950483668
en,DET,CCONJ,0.5763526594146242
en,DET,NOUN,0.5268779379790018
en,PRON,CCONJ,0.4153337452486845
en,PRON,PRON,-1.2069461307996647
en,NOUN,X,-0.027856965939477618
en,X,ADP,1.3560175183671035
en,X,X,7.4288335836530415
en,ADV,CCONJ,0.6044786572679932
en,VERB,SYM,-0.6250787719901005
en,SYM,ADV,-0.49071841181957865
en,SYM,NUM,4.342807513077592
en,NUM,NOUN,0.3610918014224396
en,NUM,ADP,0.9118704304585386
en,ADV,DET,-3.253407126346975
en,SCONJ,CCONJ,2.3243086586397688
en,NUM,PROPN,-1.7067361809769253
en,AUX,ADV,0.4831608678773449
en,SYM,CCONJ,-0.8650766568083661
en,INTJ,PROPN,1.7952083661913143
en,ADJ,SYM,-0.2401889206435115
en,NUM,AUX,-0.83637441454783
en,PROPN,SYM,0.13164820679121192
en,ADP,NOUN,-0.32741348829936
en,ADP,AUX,1.552813211774474
en,PART,VERB,-0.680293261971336
en,SCONJ,NOUN,0.8387348223974698
en,PRON,PART,-1.6038218924670495
en,X,VERB,-0.7612132573549033
en,ADV,INTJ,0.5817297548282525
en,VERB,INTJ,0.7937273118359052
en,PROPN,X,1.8193356489248735
en,ADV,ADP,-1.188105128968349
en,DET,DET,-1.277749500104349
en,SCONJ,SCONJ,2.5120007383650353
en,X,NOUN,-0.7650867055750048
en,X,AUX,-1.3083590835282095
en,NOUN,INTJ,-1.9534049617360303
en,ADV,SCONJ,0.5186693321083986
en,X,NUM,2.198292091972281
en,VERB,X,-1.219501601960328
en,DET,PRON,-0.08027872142450221
en,NUM,SYM,3.7679656694270243
en,NOUN,SYM,-0.15677644627148268
en,X,CCONJ,0.08726946133891644
en,CCONJ,CCONJ,3.6462367535271305
en,CCONJ,SYM,6.594296538112051
en,ADP,VERB,-0.7480378686071667
en,ADP,ADP,0.7426513026422832
en,ADP,CCONJ,1.965515270000541
en,PROPN,SCONJ,-3.320597202706109
en,AUX,NOUN,-1.2571895976010659
en,AUX,ADJ,-0.3297524327736632
en,AUX,CCONJ,0.03573916069883509
en,SYM,DET,-1.418312336967805
en,SYM,PROPN,-1.980475897540785
en,SYM,NOUN,-0.11847705092162641
en,SYM,SYM,3.6079383191334387
en,SYM,ADP,-0.07848029491755781
en,INTJ,INTJ,6.430842773144992
en,SYM,VERB,-1.6021982665544812
en,ADV,ADJ,-1.5631626991308494
en,ADJ,NUM,-2.642462170472216
en,PROPN,INTJ,-1.1015509695018189
en,INTJ,NOUN,-0.5622998174823977
en,PART,CCONJ,3.4693589914430483
en,X,DET,-3.0102867350443336
en,ADP,ADV,0.5478665572651629
en,ADP,PROPN,-2.7678615286809976
en,INTJ,ADJ,-2.608867444122051
en,PART,ADV,1.7676142573460432
en,PART,INTJ,2.2980875642932226
en,NUM,PRON,-1.7205933119154189
en,NUM,VERB,-1.707974136430927
en,AUX,PART,1.0203671470790958
en,X,PRON,-4.196144595915992
en,ADJ,X,-1.1862605436210991
en,ADJ,INTJ,-0.06861893311152656
en,NUM,INTJ,-1.6471311499743955
en,PRON,SYM,-0.7188641522854695
en,ADV,SYM,0.12235745631353012
en,SYM,PRON,-2.703705871390378
en,SYM,AUX,-1.190315873784094
en,ADP,PRON,-0.1385750878098051
en,DET,ADV,-0.1532400596354968
en,INTJ,AUX,-1.6390043955166824
en,DET,PROPN,-2.3496692172093123
en,ADV,NUM,-1.6917185491947162
en,NUM,PART,-3.994035132334524
en,ADP,X,2.2196165510643304
en,PRON,X,-2.618141563784114
en,X,PROPN,-1.3659994181498867
en,SYM,ADJ,-1.8276035833025936
en,NUM,SCONJ,-2.6597265057112622
en,PRON,INTJ,-0.8000602351334507
en,SYM,INTJ,-1.6827111293434918
en,DET,SYM,-1.0776235700805508
en,INTJ,CCONJ,0.2711973221802033
en,DET,INTJ,-0.15881965292853195
en,DET,AUX,-0.8977499434755885
en,PART,SCONJ,3.4554172099986715
en,ADP,SYM,1.3115390405053695
en,AUX,NUM,-2.940701049918138
en,AUX,PROPN,-1.8325672180688137
en,ADP,SCONJ,-1.5192179922456823
en,DET,PART,-1.2426892294548644
en,INTJ,ADV,0.5784413713104541
en,SCONJ,ADV,2.409160286433565
en,PRON,NUM,-3.8068628797702466
en,SYM,PART,-4.766580705869824
en,DET,SCONJ,-2.3234181021104447
en,DET,NUM,-2.095232969673928
en,SYM,SCONJ,-3.4322720792465624
en,INTJ,PRON,-3.2048618130171
en,NUM,X,-1.2428200572886148
en,INTJ,SCONJ,0.8739269011843191
en,INTJ,DET,-1.4340414514242852
en,INTJ,ADP,-2.1121313173713006
en,INTJ,VERB,-1.939855475898323
en,CCONJ,ADP,-0.5444468080819824
en,AUX,INTJ,1.165637268269574
en,CCONJ,INTJ,4.191172360376708
en,ADV,X,-1.428996651764809
en,X,ADJ,-3.6001502270209436
en,ADP,PART,-1.853526618868944
en,ADP,INTJ,1.2303429576573883
